indice,sma20
221,1428.391225
222,1432.607757
223,1436.585902
224,1440.592713
225,1445.555895
226,1449.578224
227,1452.089036
228,1453.285845
229,1453.958804
230,1453.438421
231,1452.359457
232,1449.812634
233,1448.489721
234,1449.283458
235,1450.364800
236,1452.777867
237,1455.480366
238,1457.584439
239,1459.197778
240,1461.190182
241,1462.084860
242,1465.234948
243,1469.149241
244,1471.983650
245,1473.906552
246,1475.856275
247,1479.388098
248,1483.219917
249,1486.932191
250,1491.265551
251,1494.593513
252,1497.708114
253,1499.791075
254,1500.554783
255,1501.037423
256,1501.083346
257,1498.681344
258,1496.565051
259,1494.469652
260,1492.483427
261,1489.677271
262,1486.420794
263,1482.529876
264,1477.879925
265,1473.334935
266,1468.538946
267,1462.634036
268,1457.347715
269,1452.751288
270,1447.839407
271,1442.889253
272,1438.340976
273,1433.878639
274,1429.503884
275,1424.980573
276,1420.121012
277,1417.925216
278,1415.604624
279,1413.416971
280,1410.360461
281,1409.215995
282,1407.193088
283,1404.721162
284,1402.332289
285,1400.241022
286,1398.514848
287,1397.433602
288,1397.215846
289,1397.506311
290,1397.705470
291,1398.964773
292,1399.007540
293,1400.263928
294,1401.025327
295,1402.593349
296,1404.588744
297,1406.198257
298,1408.311218
299,1409.339842
300,1411.623774
301,1412.620001
302,1414.120886
303,1415.658319
304,1420.673350
305,1425.121635
306,1429.878958
307,1434.277277
308,1437.120650
309,1438.152482
310,1439.148247
311,1440.194595
312,1441.607057
313,1441.616650
314,1442.794462
315,1443.541275
316,1445.380776
317,1445.516310
318,1446.226218
319,1448.083328
320,1448.210075
321,1449.120135
322,1451.238568
323,1453.463206
324,1453.680007
325,1454.125972
326,1454.699653
327,1456.360850
328,1459.097017
329,1463.583654
330,1467.985834
331,1471.318857
332,1475.187005
333,1479.367351
334,1483.633506
335,1487.788351
336,1489.891291
337,1493.833227
338,1496.732596
339,1499.279742
340,1502.863316
341,1505.392443
342,1506.690101
343,1508.088330
344,1507.958156
345,1509.252701
346,1510.000830
347,1510.556130
348,1510.246813
349,1510.145116
350,1510.284359
351,1510.814513
352,1512.748359
353,1514.095285
354,1515.217117
355,1516.321945
356,1518.044143
357,1518.949453
358,1519.329247
359,1519.223119
360,1518.958711
361,1519.625235
362,1520.289261
363,1519.963671
364,1520.106189
365,1519.212111
366,1517.023391
367,1515.292603
368,1513.282305
369,1511.523376
370,1510.157592
371,1507.866953
372,1503.813801
373,1500.421201
374,1497.561755
375,1493.806394
376,1488.991403
377,1484.254945
378,1481.733475
379,1478.786611
380,1476.672800
381,1476.078081
382,1476.811267
383,1478.585787
384,1480.654840
385,1482.378713
386,1485.116713
387,1484.644201
388,1486.038563
389,1486.610787
390,1487.206840
391,1488.121318
392,1490.240047
393,1492.176314
394,1493.253946
395,1495.599730
396,1499.083883
397,1501.800757
398,1504.106779
399,1507.637921
400,1510.965276
401,1513.553120
402,1514.360808
403,1513.899094
404,1515.339114
405,1518.825411
406,1523.153675
407,1529.117248
408,1533.808055
409,1537.583148
410,1540.547413
411,1544.525984
412,1548.475293
413,1551.260007
414,1555.090883
415,1559.472497
416,1563.530313
417,1567.880919
418,1570.798639
419,1574.095302
420,1577.452537
421,1578.674797
422,1580.887139
423,1585.079873
424,1587.864400
425,1588.966831
426,1589.169095
427,1588.663060
428,1586.637782
429,1585.445949
430,1584.613409
431,1583.732242
432,1582.308903
433,1581.520193
434,1580.096611
435,1577.469524
436,1576.099897
437,1575.537738
438,1575.035280
439,1572.982819
440,1570.950359
441,1568.992887
442,1565.910086
443,1562.144759
444,1558.088862
445,1554.083705
446,1550.974446
447,1549.550612
448,1549.887331
449,1551.058443
450,1552.958107
451,1554.027126
452,1555.257022
453,1556.334998
454,1557.576967
455,1560.810486
456,1563.202987
457,1564.488619
458,1565.830528
459,1568.270480
460,1569.628567
461,1570.754901
462,1572.374643
463,1573.546148
464,1574.635157
465,1576.354611
466,1578.395660
467,1579.537424
468,1579.132816
469,1577.314761
470,1575.286222
471,1573.617002
472,1572.384277
473,1572.734539
474,1573.669264
475,1573.757530
476,1573.460328
477,1572.630896
478,1572.370276
479,1571.291079
480,1571.492976
481,1571.942624
482,1572.291598
483,1572.303011
484,1572.093993
